Objeto,ActivoRender,Colecciones,Xmin_m,AlturaMin_m,Zmin_m,Xmax_m,AlturaMax_m,Zmax_m,DX_m,Altura_m,DZ_m,EscalaX,EscalaY,EscalaZ,Alertas_no_dictamen
Vestidor prenda 0 | cloth body,True,Scene Collection,18.30827522277832,4.28148889541626,6.2759175300598145,18.351573944091797,5.033381462097168,6.683865547180176,0.04329872131347656,0.7518925666809082,0.40794801712036133,1.0,1.0,1.0,
Vestidor prenda 0 | sewn hem,True,Scene Collection,18.30794906616211,4.280600070953369,6.28754997253418,18.35207176208496,4.28939962387085,6.676822185516357,0.04412269592285156,0.008799552917480469,0.38927221298217773,1.0,1.0,1.0,
Vestidor prenda 0 | collar seam,True,Scene Collection,18.32024574279785,5.031899929046631,6.42882776260376,18.339296340942383,5.03410005569458,6.531048774719238,0.01905059814453125,0.0022001266479492188,0.10222101211547852,1.0,1.0,1.0,
Vestidor prenda 0 | sleeve -1,True,Scene Collection,18.324935913085938,4.469980716705322,6.633315563201904,18.36028480529785,4.98504114151001,6.718464374542236,0.03534889221191406,0.5150604248046875,0.08514881134033203,1.0,1.0,1.0,
Vestidor prenda 0 | cuff -1,True,Scene Collection,18.327003479003906,4.469000339508057,6.679483413696289,18.352205276489258,4.4710001945495605,6.718537330627441,0.025201797485351562,0.0019998550415039062,0.039053916931152344,1.0,1.0,1.0,
Vestidor prenda 0 | sleeve 1,True,Scene Collection,18.301658630371094,4.469978332519531,6.254495143890381,18.336469650268555,4.985043048858643,6.32668399810791,0.03481101989746094,0.5150647163391113,0.0721888542175293,1.0,1.0,1.0,
Vestidor prenda 0 | cuff 1,True,Scene Collection,18.30105972290039,4.469000339508057,6.255323886871338,18.326261520385742,4.4710001945495605,6.29437780380249,0.025201797485351562,0.0019998550415039062,0.039053916931152344,1.0,1.0,1.0,
Vestidor prenda 0 | placket stitching,True,Scene Collection,18.3459529876709,4.29499626159668,6.472329616546631,18.3478946685791,4.973022937774658,6.484143257141113,0.001941680908203125,0.6780266761779785,0.011813640594482422,1.0,1.0,1.0,
Vestidor prenda 0 | hanger hook,True,Scene Collection,18.328500747680664,5.03792142868042,6.4560017585754395,18.331499099731445,5.143997669219971,6.483981609344482,0.00299835205078125,0.10607624053955078,0.02797985076904297,1.0,1.0,1.0,
Vestidor prenda 0 | hanger shoulders,True,Scene Collection,18.315683364868164,4.959500312805176,6.269852638244629,18.344316482543945,5.0404229164123535,6.690147399902344,0.02863311767578125,0.08092260360717773,0.42029476165771484,1.0,1.0,1.0,
Vestidor prenda 1 | cloth body,True,Scene Collection,18.41924476623535,4.30251932144165,6.275877475738525,18.46544647216797,5.033382892608643,6.683593273162842,0.04620170593261719,0.7308635711669922,0.4077157974243164,1.0,1.0,1.0,
Vestidor prenda 1 | sewn hem,True,Scene Collection,18.419578552246094,4.3016228675842285,6.287067413330078,18.465944290161133,4.31037712097168,6.677912712097168,0.04636573791503906,0.008754253387451172,0.39084529876708984,1.0,1.0,1.0,
Vestidor prenda 1 | collar seam,True,Scene Collection,18.430639266967773,5.031899929046631,6.428930759429932,18.450050354003906,5.03410005569458,6.531131744384766,0.019411087036132812,0.0022001266479492188,0.10220098495483398,1.0,1.0,1.0,
Vestidor prenda 1 | sleeve -1,True,Scene Collection,18.40751075744629,4.53997278213501,6.633227825164795,18.44440269470215,4.985044002532959,6.71334171295166,0.036891937255859375,0.4450712203979492,0.08011388778686523,1.0,1.0,1.0,
Vestidor prenda 1 | cuff -1,True,Scene Collection,18.408679962158203,4.539000034332275,6.671532154083252,18.433866500854492,4.540999889373779,6.710623264312744,0.025186538696289062,0.0019998550415039062,0.03909111022949219,1.0,1.0,1.0,
Vestidor prenda 1 | sleeve 1,True,Scene Collection,18.436237335205078,4.5399556159973145,6.2477192878723145,18.470762252807617,4.985053062438965,6.326770782470703,0.03452491760253906,0.4450974464416504,0.07905149459838867,1.0,1.0,1.0,
Vestidor prenda 1 | cuff 1,True,Scene Collection,18.438322067260742,4.539000034332275,6.24761438369751,18.463510513305664,4.540999889373779,6.28670597076416,0.025188446044921875,0.0019998550415039062,0.03909158706665039,1.0,1.0,1.0,
Vestidor prenda 1 | placket stitching,True,Scene Collection,18.45589256286621,4.315988540649414,6.474555969238281,18.458026885986328,4.973003387451172,6.487812519073486,0.0021343231201171875,0.6570148468017578,0.013256549835205078,1.0,1.0,1.0,
