sheet,view,axis,from_m,to_m,value_m,label,kind,classification
A01,01 Implantacion general,horizontal,0,22,22,22.00,base,
A01,01 Implantacion general,vertical,0,20,20,20.00,base,
A01,01 Implantacion general,horizontal,0,14,14,14.00,base,
A01,01 Implantacion general,horizontal,14,22,8,8.00,base,
A01,01 Implantacion general,vertical,12,15,3,3.00,base,
A01,01 Implantacion general,vertical,18,20,2,2.00,base,
A01,01 Implantacion general,horizontal,20,22,2,2.00,base,
A01,01 Implantacion general,horizontal,11,14,3,"Hoja 3,00 / luz 2,75",base,
A01,02 Huerta y caminos,horizontal,2.05,4.25,2.2,2.20,base,
A01,02 Huerta y caminos,horizontal,5.05,7.25,2.2,2.20,base,
A01,02 Huerta y caminos,vertical,3.675,4.725,1.05,1.05,base,
A01,02 Huerta y caminos,vertical,6.625,7.675,1.05,1.05,base,
A02,01 Planta baja amoblada,horizontal,14,22,8,8.00,base,
A02,01 Planta baja amoblada,horizontal,14,14.2,0.2,0.20,base,
A02,01 Planta baja amoblada,horizontal,14.2,21.8,7.6,7.60,base,
A02,01 Planta baja amoblada,horizontal,21.8,22,0.2,0.20,base,
A02,01 Planta baja amoblada,vertical,0,12,12,12.00,base,
A02,01 Planta baja amoblada,vertical,0,6,6,6.00,base,
A02,01 Planta baja amoblada,vertical,6,12,6,6.00,base,
A02,01 Planta baja amoblada,horizontal,14.2,19.25,5.05,5.05,base,
A02,01 Planta baja amoblada,horizontal,19.39,21.8,2.41,2.41,base,
A02,01 Planta baja amoblada,vertical,0.2,5.9,5.7,5.70,base,
A02,01 Planta baja amoblada,vertical,0.26,1.81,1.55,1.55,base,
A02,01 Planta baja amoblada,horizontal,14,16.75,2.75,2.75,base,
A02,01 Planta baja amoblada,horizontal,16.75,19.25,2.5,2.50,base,
A02,01 Planta baja amoblada,horizontal,19.25,22,2.75,2.75,base,
A02,01 Planta baja amoblada,horizontal,20.7,21.8,1.1,1.10,base,
A02,01 Planta baja amoblada,vertical,10.17,11.83,1.66,1.66,base,
A03,01 Planta alta amoblada,horizontal,14,22,8,8.00,base,
A03,01 Planta alta amoblada,horizontal,14,14.2,0.2,0.20,base,
A03,01 Planta alta amoblada,horizontal,14.2,21.8,7.6,7.60,base,
A03,01 Planta alta amoblada,horizontal,21.8,22,0.2,0.20,base,
A03,01 Planta alta amoblada,vertical,0,12,12,12.00,base,
A03,01 Planta alta amoblada,vertical,0,6,6,6.00,base,
A03,01 Planta alta amoblada,vertical,6,12,6,6.00,base,
A03,01 Planta alta amoblada,horizontal,14.2,17.55,3.35,3.35,base,
A03,01 Planta alta amoblada,horizontal,17.69,19.35,1.66,1.66,base,
A03,01 Planta alta amoblada,horizontal,19.49,21.8,2.31,2.31,base,
A03,01 Planta alta amoblada,vertical,6.1,8.93,2.83,2.83,base,
A03,01 Planta alta amoblada,vertical,9.07,11.8,2.73,2.73,base,
A03,01 Planta alta amoblada,horizontal,13,14,1,1.00,base,
A03,01 Planta alta amoblada,vertical,12,13,1,1.00,base,
A03,01 Planta alta amoblada,vertical,1.5,4.5,3.0,3.00,base,
A03,01 Planta alta amoblada,vertical,4.84,5.76,0.92,0.92,base,
A03,01 Planta alta amoblada,horizontal,19.585,20.485,0.9,"P11 0,90 libre",base,
A03,01 Planta alta amoblada,horizontal,16.54,17.54,1.0,"P05 vano1,00",base,
A03b,"01 Vivienda / accesos, mobiliario y huellas de uso",horizontal,18.991653060913087,19.966999435424803,0.975346,0.975 uso P,base,
A03b,"01 Vivienda / accesos, mobiliario y huellas de uso",horizontal,18.991653060913087,19.817001724243163,0.825349,0.825 uso P,base,
A03b,"01 Vivienda / accesos, mobiliario y huellas de uso",horizontal,15.69999885559082,16.508346939086913,0.808348,0.808 uso P,base,
A03b,"01 Vivienda / accesos, mobiliario y huellas de uso",vertical,9.07,9.875000953674316,0.805001,0.805 G,base,
A03b,"01 Vivienda / accesos, mobiliario y huellas de uso",horizontal,19.585,20.485,0.9,"P11 0,90 libre",base,
A04,01 Cubiertas y captacion,horizontal,13.7,22.3,8.6,8.60,base,
A04,01 Cubiertas y captacion,vertical,0,6,6,6.00,base,
A04,01 Cubiertas y captacion,vertical,6,12,6,6.00,base,
A04,01 Cubiertas y captacion,horizontal,13.7,14,0.3,0.30,base,
A05a,01 Frente / Cedro Misionero,horizontal,14,22,8,8.00,base,
A05a,02 Contrafrente / pileta,horizontal,14,22,8,8.00,base,
A05b,03 Lateral de acceso,horizontal,0,12,12,12.00,base,
A05b,04 Medianera lateral,horizontal,0,12,12,12.00,base,
A06,A-A Longitudinal por ambas alturas,vertical,3.25,6.45,3.2,"3,20 libre",base,
A06,A-A Longitudinal por ambas alturas,vertical,3.25,5.85,2.6,"2,60 libre",base,
A06,A-A Longitudinal por ambas alturas,horizontal,0,6,6,6.00,base,
A06,A-A Longitudinal por ambas alturas,horizontal,6,12,6,6.00,base,
A06,B-B Transversal por estudio,horizontal,14,22,8,8.00,base,
A06,B-B Transversal por estudio,vertical,3.25,6.45,3.2,"3,20 libre",base,
A07,01 Planta / acceso,horizontal,12.98,13.98,1.0,"1,00 nominal",base,
A07,01 Planta / acceso,vertical,5,6,1,"1,00",base,
A07,02 Seccion y proyeccion lateral,vertical,0.23722222447395325,3.249999761581421,3.012778,17 x 177.2 mm,base,
A07,02 Seccion y proyeccion lateral,horizontal,1.194000005722046,4.782888889312744,3.588889,17 avances x 211.1 mm,base,
A07,"03 Umbral / corte Z=5,30",vertical,3.2,3.25,0.05,50 mm,base,
A08,01 Planta del vaso y playa humeda,horizontal,13,20,7,7.00,base,
A08,01 Planta del vaso y playa humeda,horizontal,12,13,1,1.00,base,
A08,01 Planta del vaso y playa humeda,horizontal,20,21,1,1.00,base,
A08,01 Planta del vaso y playa humeda,vertical,15,18,3,3.00,base,
A08,01 Planta del vaso y playa humeda,vertical,14,15,1,1.00,base,
A08,01 Planta del vaso y playa humeda,vertical,18,19,1,1.00,base,
A09,B01 Monoambiente,horizontal,19.39,21.8,2.41,2.41,base,
A09,B01 Monoambiente,vertical,0.26,1.81,1.55,1.55,base,
A09,Elevacion interior / artefactos,vertical,0.21,0.6649999618530273,0.455,455 G asiento,base,
A09,B02 Vivienda,horizontal,19.49,21.8,2.31,2.31,base,
A09,B02 Vivienda,vertical,6.165,8.57,2.405,2.41,base,
A09,B02 Vivienda,horizontal,19.585,20.485,0.9,"P11 0,90 libre",base,
A09,WC y bidet / hacia muro posterior,vertical,3.25,3.705000162124634,0.455,455 G asiento,base,
A09,B03 Pileta,horizontal,20.7,21.8,1.1,1.10,base,
A09,B03 Pileta,vertical,10.17,11.83,1.66,1.66,base,
A09,Elevacion interior / artefactos,vertical,0.21,0.6649999618530273,0.455,455 G asiento,base,
A10,01 Linea del quincho,vertical,6.15,7.35,1.2,"Horno 1,20",base,
A10,01 Linea del quincho,vertical,7.5,8.8,1.3,"Bacha 1,30",base,
A10,01 Linea del quincho,vertical,8.89,9.99,1.1,"Parrilla 1,10",base,
A10,02 Cocina mono / ver A10b,horizontal,15.960000038146973,17.68000030517578,1.72,G 1.720,base,
A10,02 Cocina mono / ver A10b,vertical,3.320000171661377,4.0,0.68,G 0.680,base,
A10b,"01 Planta completa / piso +0,21",horizontal,15.960000038146973,17.68000030517578,1.72,G isla 1.720,base,
A10b,"01 Planta completa / piso +0,21",vertical,3.320000171661377,4.0,0.68,G 0.680,base,
A10b,"01 Planta completa / piso +0,21",horizontal,14.86,15.960000038146973,1.1,G paso 1.100,base,
A10b,"01 Planta completa / piso +0,21",vertical,4.0,5.075999736785889,1.076,G 1.076 hasta tirador,base,
A10b,"01 Planta completa / piso +0,21",vertical,3.320000171661377,3.7200000286102295,0.4,0.400 G rodillas / D14,base,
A10b,02 Mesa y sillas / elevacion G,vertical,0.21,0.9600000381469727,0.75,750 G,base,
A10b,02 Mesa y sillas / elevacion G,vertical,0.21,0.6700000166893005,0.46,460 G,base,
A10b,"03 Mesada / Z3,60",vertical,0.21,1.1100000143051147,0.9,900 G,base,
A11,01 Estudio / posiciones y cerramientos,horizontal,14.2,21.8,7.6,7.60,base,
A11,01 Estudio / posiciones y cerramientos,vertical,0.2,5.8,5.6,5.60,base,
A12,01 P05 / jambas y hoja cerrada G,horizontal,16.582,17.505,0.923,923 G entre jambas,base,
A12,01 P05 / jambas y hoja cerrada G,horizontal,16.604503631591797,17.41050148010254,0.805998,806 G conservador,base,
A12,02 Cierre vestidor-estar / corte G,vertical,8.93,9.07,0.14,140 G,base,
A13,"01/A13 Alero estudio / X=17,80",vertical,6.95,7.03,0.08,80 mm aislacion representada,base,
A13,"02/A13 Escalon cubiertas / X=17,80",vertical,7.5,8.1,0.6,"0,60 m",base,
A13b,"05/A13b Canaleta abierta / X=14,00",horizontal,-0.16,0,0.16,"0,16 m G",base,
A13b,"06/A13b DVH / antepecho / Z=3,00",horizontal,14,14.2,0.2,"Muro 0,20",base,
A14,01 Planta de apoyos y lineas estructurales,horizontal,14.15,21.9,7.75,"7,75 entre ejes representativos",base,
A14,01 Planta de apoyos y lineas estructurales,vertical,6.1,9,2.9,"2,90",base,
A14,01 Planta de apoyos y lineas estructurales,vertical,9,11.85,2.85,"2,85",base,
A14,"04/A14 Balcon / baranda / Z=9,00",vertical,3.25,4.300000190734863,1.05,1.05 m eje / NPT,base,
D01,01 Alero propuesto sobre espesores G,x,0.0,0.16,0.16,160 G,detail,G
D01,01 Alero propuesto sobre espesores G,y,0.5203330599999999,0.60033306,0.08,80 G,detail,G
D01,01 Alero propuesto sobre espesores G,x,0.08,0.12,0.04,40 P,detail,P
