0	sky	Cúpula HDRI	skyHdri	11,8,10	68,48,68
1	ground	Entorno exterior	outerGrass	0,0,0	1,1,1
2	ground	Césped del lote	grass	0,0,0	1,1,1
3	ground	Calle Cedro Misionero	road	11,-0.07999999821186066,-2.799999952316284	40,0.14000000059604645,5.5
4	ground	Banquina	soil	11,-0.014999999664723873,-0.7200000286102295	40,0.07999999821186066,1.25
5	ground	Medianera izquierda	concrete	0.019999999552965164,1,10	0.1599999964237213,2,20
6	ground	Medianera posterior	concrete	11,1,19.979999542236328	22,2,0.1599999964237213
7	ground	Medianera derecha posterior	brickDark	21.979999542236328,1,16	0.1599999964237213,2,8
8	ground	Muro frontal izquierdo	concrete	5.5,1,0.019999999552965164	11,2,0.1599999964237213
9	ground	Pilar frontal 0	concreteDark	0,1,0.019999999552965164	0.25,2.0999999046325684,0.25
10	ground	Pilar frontal 1	concreteDark	3.6500000953674316,1,0.019999999552965164	0.25,2.0999999046325684,0.25
11	ground	Pilar frontal 2	concreteDark	7.320000171661377,1,0.019999999552965164	0.25,2.0999999046325684,0.25
12	ground	Pilar frontal 3	concreteDark	11,1,0.019999999552965164	0.25,2.0999999046325684,0.25
13	ground	Pilar frontal 4	concreteDark	14,1,0.019999999552965164	0.25,2.0999999046325684,0.25
14	ground	Portón negro	blackMetal	12.5,1,0.019999999552965164	3,2,0.10000000149011612
15	ground	Nervio portón 11.25	blackMetal	11.25,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
16	ground	Nervio portón 11.57	blackMetal	11.569999694824219,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
17	ground	Nervio portón 11.89	blackMetal	11.890000343322754,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
18	ground	Nervio portón 12.21	blackMetal	12.210000038146973,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
19	ground	Nervio portón 12.53	blackMetal	12.529999732971191,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
20	ground	Nervio portón 12.85	blackMetal	12.850000381469727,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
21	ground	Nervio portón 13.17	blackMetal	13.170000076293945,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
22	ground	Nervio portón 13.49	blackMetal	13.489999771118164,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
23	ground	Nervio portón 13.81	blackMetal	13.8100004196167,1,-0.04500000178813934	0.03500000014901161,1.8600000143051147,0.05000000074505806
24	ground	Riel portón	blackMetal	12.5,0.09000000357627869,0.17000000178813934	3.200000047683716,0.07999999821186066,0.10000000149011612
